label,horizon,full_rmse,obs_rmse,full_mae,mape
persistence,1,0.0005386353004723787,0.001296587404794991,0.00013360395678319037,15.5728178024292
kinetic_prior,1,0.0010710894130170345,0.0010676124366000295,0.0006776206428185105,60.81218719482422
persistence,3,0.0009100661845877767,0.0016116196056827903,0.0003010316286236048,18.837995529174805
kinetic_prior,3,0.0010729641653597355,0.001078448025509715,0.000679666583891958,60.81218719482422
persistence,6,0.0012816275702789426,0.0016210691537708044,0.0005165076581761241,20.697263717651367
kinetic_prior,6,0.0010788270737975836,0.001095223124139011,0.0006822379073128104,60.81218719482422
persistence,12,0.001811221824027598,0.0016829888336360455,0.0008490561158396304,26.8948917388916
kinetic_prior,12,0.0010930304415524006,0.001117104198783636,0.0006859715795144439,57.57437515258789
gru,1,0.00932023674249649,0.009565833956003189,0.004139326978474855,45.02088928222656
gru,3,0.0026193850208073854,0.0028243863489478827,0.0011088300962001085,23.080780029296875
gru,6,0.0020195329561829567,0.0021961680613458157,0.0009845881722867489,22.645265579223633
gru,12,0.007112959865480661,0.008632433600723743,0.0030695318710058928,37.25918960571289
transformer,1,0.004316096194088459,0.004956498742103577,0.0015883608721196651,24.883846282958984
transformer,3,0.008831094950437546,0.009458241984248161,0.0038020021747797728,38.819740295410156
transformer,6,0.00278753531165421,0.002955968491733074,0.0010869293473660946,24.65860939025879
transformer,12,0.0032420512288808823,0.0034559215418994427,0.001529758796095848,31.561431884765625
gru_fused_iv,1,0.0008121573482640088,0.0008448722655884922,0.0004510828875936568,31.02869987487793
gru_fused_kgc,1,0.0008567506197371935,0.0009199786418809736,0.0005344682403434033,29.824197036926147
gru_fused_iv,3,0.0006985524669289589,0.0007393559208139777,0.0003960140165872872,31.25920295715332
gru_fused_kgc,3,0.0006115185020746931,0.0006895552165150099,0.0003627257081838058,30.660956248325995
gru_fused_iv,6,0.0007464124355465174,0.0007988602737896144,0.00040903291665017605,32.27830123901367
gru_fused_kgc,6,0.0006891105181987412,0.0007637353574264407,0.00039947331312509016,31.4559000441678
gru_fused_iv,12,0.0009619766497053206,0.001020726514980197,0.0005419666413217783,32.86228942871094
gru_fused_kgc,12,0.001437013908791456,0.0015056453416324859,0.0008264185074391028,39.97502460521268
transformer_fused_iv,1,0.0007598223746754229,0.000795712461695075,0.0004443228244781494,31.83359718322754
transformer_fused_kgc,1,0.0010239630380581705,0.0010227604963201683,0.0005832620266270956,35.64430880389347
transformer_fused_iv,3,0.0007294701645150781,0.0007830364047549665,0.0004456715250853449,33.23041534423828
transformer_fused_kgc,3,0.0011177573657180566,0.0011458500418826904,0.0007314454062140294,39.900020729082804
transformer_fused_iv,6,0.0007206767331808805,0.0008009699522517622,0.0004431799752637744,40.04375457763672
transformer_fused_kgc,6,0.000688297983739511,0.0007759383808503785,0.0004539303822741765,38.7473384469517
transformer_fused_iv,12,0.0008057268569245934,0.0008887177100405097,0.0004942218656651676,39.70667266845703
transformer_fused_kgc,12,0.000796262404880642,0.0008594517234217432,0.0005041267239914344,38.399013877353596
