label,horizon,full_rmse,obs_rmse,full_mae,mape
persistence,1,0.0005386353004723787,0.001296587404794991,0.00013360395678319037,15.5728178024292
kinetic_prior,1,0.0010710894130170345,0.0010676124366000295,0.0006776206428185105,60.81218719482422
persistence,3,0.0009100661845877767,0.0016116196056827903,0.0003010316286236048,18.837995529174805
kinetic_prior,3,0.0010729641653597355,0.001078448025509715,0.000679666583891958,60.81218719482422
persistence,6,0.0012816275702789426,0.0016210691537708044,0.0005165076581761241,20.697263717651367
kinetic_prior,6,0.0010788270737975836,0.001095223124139011,0.0006822379073128104,60.81218719482422
persistence,12,0.001811221824027598,0.0016829888336360455,0.0008490561158396304,26.8948917388916
kinetic_prior,12,0.0010930304415524006,0.001117104198783636,0.0006859715795144439,57.57437515258789
gru,1,0.00932023674249649,0.009565833956003189,0.004139326978474855,45.02088928222656
gru,3,0.0026193850208073854,0.0028243863489478827,0.0011088300962001085,23.080780029296875
gru,6,0.0020195329561829567,0.0021961680613458157,0.0009845881722867489,22.645265579223633
gru,12,0.007112959865480661,0.008632433600723743,0.0030695318710058928,37.25918960571289
transformer,1,0.004316096194088459,0.004956498742103577,0.0015883608721196651,24.883846282958984
transformer,3,0.008831094950437546,0.009458241984248161,0.0038020021747797728,38.819740295410156
transformer,6,0.00278753531165421,0.002955968491733074,0.0010869293473660946,24.65860939025879
transformer,12,0.0032420512288808823,0.0034559215418994427,0.001529758796095848,31.561431884765625
